"%1 <a href=""%2"">Open the mail health report</a>.","%1 <a href=""%2"">Open the mail health report</a>."
"%1 bytes","%1 bytes"
"%1 entries deleted.","%1 entries deleted."
"%1 is not a port number.","%1 is not a port number."
"%1 is not an e-mail address.","%1 is not an e-mail address."
"%1 ms","%1 ms"
"%1: sending e-mail works again","%1: sending e-mail works again"
"%1: the shop cannot send e-mail (%2)","%1: the shop cannot send e-mail (%2)"
"Brevo wants the SMTP key from its SMTP & API page, not the password used to sign in.","Brevo wants the SMTP key from its SMTP & API page, not the password used to sign in."
"CRAM-MD5","CRAM-MD5"
"Certificate not accepted","Certificate not accepted"
"Change the mail sending settings","Change the mail sending settings"
"Check now","Check now"
"Check that the address matches the name on the certificate and that the certificate has not expired.","Check that the address matches the name on the certificate and that the certificate has not expired."
"Check the certificate","Check the certificate"
"Check the connection","Check the connection"
"Check the connection now","Check the connection now"
"Check the connection regularly","Check the connection regularly"
"Checked in %1 ms. A connection that works is not a delivery that works: send a test message to be sure of that.","Checked in %1 ms. A connection that works is not a delivery that works: send a test message to be sure of that."
"Checks the settings as they are saved, so save first. It opens a connection, raises encryption and logs in, and sends nothing.","Checks the settings as they are saved, so save first. It opens a connection, raises encryption and logs in, and sends nothing."
"Connection refused","Connection refused"
"Counted within","Counted within"
"Credentials refused","Credentials refused"
"Days. Entries older than this are deleted nightly, whether the log is switched on or not — a log turned off last month should not still be holding last month's mail.","Days. Entries older than this are deleted nightly, whether the log is switched on or not — a log turned off last month should not still be holding last month's mail."
"Delete","Delete"
"Delete the selected entries?","Delete the selected entries?"
"Deleting these entries cannot be undone. Any message body they still hold goes with them, so a failed message deleted here can no longer be sent again.","Deleting these entries cannot be undone. Any message body they still hold goes with them, so a failed message deleted here can no longer be sent again."
"Dropped by Magento","Dropped by Magento"
"Dropped, because Magento is set to send no e-mail","Dropped, because Magento is set to send no e-mail"
"E-mail","E-mail"
"E-mail sending","E-mail sending"
"E-mail sending (SMTP)","E-mail sending (SMTP)"
"Empty means the address warnings go to.","Empty means the address warnings go to."
"Empty means the shop's general contact address.","Empty means the shop's general contact address."
"Encryption","Encryption"
"Encryption could not be agreed","Encryption could not be agreed"
"Europe","Europe"
"Every store view","Every store view"
"Failed checks before warning","Failed checks before warning"
"Failed checks in a row","Failed checks in a row"
"Failed messages before warning","Failed messages before warning"
"Failing since","Failing since"
"Failing since: %1","Failing since: %1"
"Fill in an address above, or set the address warnings go to.","Fill in an address above, or set the address warnings go to."
"For a chat room or a monitoring system. Use this where nobody opens the panel daily.","For a chat room or a monitoring system. Use this where nobody opens the panel daily."
"Frankfurt","Frankfurt"
"From","From"
"Give up after","Give up after"
"Google wants an App password here rather than the account password, and only issues one once two-step verification is on.","Google wants an App password here rather than the account password, and only issues one once two-step verification is on."
"Health check","Health check"
"How often","How often"
"If it arrived in a spam folder rather than an inbox, the settings are right and the domain's SPF, DKIM and DMARC records are what to look at next.","If it arrived in a spam folder rather than an inbox, the settings are right and the domain's SPF, DKIM and DMARC records are what to look at next."
"If it is in the spam folder, the settings are right and the next thing to look at is the domain's SPF, DKIM and DMARC records.","If it is in the spam folder, the settings are right and the next thing to look at is the domain's SPF, DKIM and DMARC records."
"If it is nowhere at all within a few minutes, the provider took it and dropped it: their own dashboard will say why.","If it is nowhere at all within a few minutes, the provider took it and dropped it: their own dashboard will say why."
"If port 587 is blocked outbound, 2525 answers the same way.","If port 587 is blocked outbound, 2525 answers the same way."
"India","India"
"Ireland","Ireland"
"It failed again: %1","It failed again: %1"
"Keep a log of what was sent","Keep a log of what was sent"
"Keep entries for","Keep entries for"
"Keep the message body","Keep the message body"
"LOGIN","LOGIN"
"Last checked","Last checked"
"Last message sent","Last message sent"
"Last worked","Last worked"
"Leave this alone unless a provider asks for something specific. The health check reports what the server offers.","Leave this alone unless a provider asks for something specific. The health check reports what the server offers."
"Leave this on. Turning it off makes an untrusted certificate work, and makes an intercepted connection work too.","Leave this on. Turning it off makes an untrusted certificate work, and makes an intercepted connection work too."
"Log","Log"
"Log in with","Log in with"
"Logging in postponed","Logging in postponed"
"Logs in as","Logs in as"
"Look in that mailbox now. If it is there, sending works.","Look in that mailbox now. If it is there, sending works."
"Magento is set to send no e-mail at all. Until Disable Email Communications is turned off, nothing leaves the shop however this is configured.","Magento is set to send no e-mail at all. Until Disable Email Communications is turned off, nothing leaves the shop however this is configured."
"Magento's own mail settings point at %1. They are ignored while this module is on, but they will mislead whoever reads them next.","Magento's own mail settings point at %1. They are ignored while this module is on, but they will mislead whoever reads them next."
"Mail health report","Mail health report"
"Mail log","Mail log"
"Mail sending settings","Mail sending settings"
"Mail servers have bad minutes. A refused password is reported at once whatever this says, because that will not fix itself.","Mail servers have bad minutes. A refused password is reported at once whatever this says, because that will not fix itself."
"Mailjet uses the API key as the login and the secret key as the password.","Mailjet uses the API key as the login and the secret key as the password."
"Message refused","Message refused"
"Message to %1","Message to %1"
"Messages that failed to go out","Messages that failed to go out"
"Messages that failed to go out: %1","Messages that failed to go out: %1"
"Microsoft 365 turns SMTP AUTH off by default; it has to be switched on for this mailbox in the Microsoft 365 admin centre.","Microsoft 365 turns SMTP AUTH off by default; it has to be switched on for this mailbox in the Microsoft 365 admin centre."
"No STARTTLS offered","No STARTTLS offered"
"No answer","No answer"
"No answer from %1 within %2 seconds.","No answer from %1 within %2 seconds."
"No route to the server","No route to the server"
"No way to log in","No way to log in"
"None — only for a relay on the same machine","None — only for a relay on the same machine"
"None — the server accepts us by address","None — the server accepts us by address"
"North Virginia","North Virginia"
"Not a mail server","Not a mail server"
"Not checked yet","Not checked yet"
"Not configured","Not configured"
"Not sent","Not sent"
"Nothing has been checked yet. The check runs on cron, and the button below runs it now.","Nothing has been checked yet. The check runs on cron, and the button below runs it now."
"Nothing is listening at %1.","Nothing is listening at %1."
"Nothing needs to be done.","Nothing needs to be done."
"One real message, through the saved settings. This is the only way to learn anything about delivery.","One real message, through the saved settings. This is the only way to learn anything about delivery."
"Only for messages that failed, and only while they are within the retention — this is what makes sending them again possible once the settings are fixed. It is also the one setting here that stores whole customer e-mails.","Only for messages that failed, and only while they are within the retention — this is what makes sending them again possible once the settings are fixed. It is also the one setting here that stores whole customer e-mails."
"Only needed where the provider insists. A Magento installation has sender addresses in half a dozen settings and in any number of modules, and a provider that only accepts one of them will refuse the rest.","Only needed where the provider insists. A Magento installation has sender addresses in half a dozen settings and in any number of modules, and a provider that only accepts one of them will refuse the rest."
"Open","Open"
"Open the mail health report","Open the mail health report"
"Open the mail sending settings","Open the mail sending settings"
"Opens a connection, raises encryption and logs in. It sends nothing, costs the provider nothing, and proves the connection rather than the delivery.","Opens a connection, raises encryption and logs in. It sends nothing, costs the provider nothing, and proves the connection rather than the delivery."
"Oregon","Oregon"
"Other addresses for this provider:","Other addresses for this provider:"
"Outcome","Outcome"
"Outgoing mail is customer correspondence: names, addresses, order contents, the occasional password reset link. The defaults keep as little of it as is still useful.","Outgoing mail is customer correspondence: names, addresses, order contents, the occasional password reset link. The defaults keep as little of it as is still useful."
"Overrides the sender of every message. Leave empty to keep whatever each message already says.","Overrides the sender of every message. Leave empty to keep whatever each message already says."
"PLAIN","PLAIN"
"Password","Password"
"Pick a provider and its server, port and encryption are filled in below.","Pick a provider and its server, port and encryption are filled in below."
"Pick the host of the data centre the account lives in; the addresses are not interchangeable.","Pick the host of the data centre the account lives in; the addresses are not interchangeable."
"Pick the host of the region the identity was verified in, and remember that a new account is in the sandbox until Amazon lifts it: it can only write to verified addresses.","Pick the host of the region the identity was verified in, and remember that a new account is in the sandbox until Amazon lifts it: it can only write to verified addresses."
"Picking one fills in the server, the port and the encryption, and explains what that provider means by the two credential fields.","Picking one fills in the server, the port and the encryption, and explains what that provider means by the two credential fields."
"Port","Port"
"Port %1 expects TLS from the first byte. With encryption off, the server will never answer.","Port %1 expects TLS from the first byte. With encryption off, the server will never answer."
"Port %1 usually expects STARTTLS rather than TLS from the first byte.","Port %1 usually expects STARTTLS rather than TLS from the first byte."
"Port %1 usually expects TLS from the first byte rather than STARTTLS.","Port %1 usually expects TLS from the first byte rather than STARTTLS."
"Port 25 is blocked outbound by most hosting companies, and by most home connections.","Port 25 is blocked outbound by most hosting companies, and by most home connections."
"Port and encryption disagree: 465 expects TLS from the first byte, 587 expects STARTTLS.","Port and encryption disagree: 465 expects TLS from the first byte, 587 expects STARTTLS."
"Postmark expects the Server API token in both the user name and the password.","Postmark expects the Server API token in both the user name and the password."
"Postmark keeps transactional and bulk messages on separate streams; order e-mail belongs on the transactional one.","Postmark keeps transactional and bulk messages on separate streams; order e-mail belongs on the transactional one."
"Provider","Provider"
"Real messages that could not be sent. This is the ground truth: a shop whose order confirmations are failing is broken whatever a connection test says.","Real messages that could not be sent. This is the ground truth: a shop whose order confirmations are failing is broken whatever a connection test says."
"Refused by the server","Refused by the server"
"Reuse a verdict for","Reuse a verdict for"
"SMTP AUTH is off by default and has to be enabled for the mailbox in the Microsoft 365 admin centre. Microsoft also throttles at around 30 messages a minute and 10 000 a day, and is retiring password-based SMTP: for order e-mail a provider built for sending is the safer home.","SMTP AUTH is off by default and has to be enabled for the mailbox in the Microsoft 365 admin centre. Microsoft also throttles at around 30 messages a minute and 10 000 a day, and is retiring password-based SMTP: for order e-mail a provider built for sending is the safer home."
"STARTTLS","STARTTLS"
"STARTTLS refused","STARTTLS refused"
"STARTTLS — usually port 587","STARTTLS — usually port 587"
"Say it again after","Say it again after"
"Seconds of silence before the same problem is reported a second time. Six hours by default: often enough not to be forgotten, rarely enough not to be filtered.","Seconds of silence before the same problem is reported a second time. Six hours by default: often enough not to be forgotten, rarely enough not to be filtered."
"Seconds to wait for the server. Five is enough for any provider in the list; a longer wait only makes a checkout page slower on the day the server is down.","Seconds to wait for the server. Five is enough for any provider in the list; a longer wait only makes a checkout page slower on the day the server is down."
"Seconds. Keeps a dashboard, a cron run and a console command in the same minute from opening three connections to learn the same thing. The button on this page always checks now.","Seconds. Keeps a dashboard, a cron run and a console command in the same minute from opening three connections to learn the same thing. The button on this page always checks now."
"Seconds. Three failures in half an hour is a broken shop; three over a fortnight is three bad addresses.","Seconds. Three failures in half an hour is a broken shop; three over a fortnight is three bad addresses."
"See what was sent","See what was sent"
"Send a test message","Send a test message"
"Send a test message to","Send a test message to"
"Send bounces to","Send bounces to"
"Send it","Send it"
"Send it again","Send it again"
"Send through this module","Send through this module"
"SendGrid expects the literal word apikey as the login, with the API key as the password.","SendGrid expects the literal word apikey as the login, with the API key as the password."
"Sender","Sender"
"Sender, recipients, subject and what the server said. This is what answers ""did the customer get it?"" without guessing.","Sender, recipients, subject and what the server said. This is what answers ""did the customer get it?"" without guessing."
"Sender: %1","Sender: %1"
"Sending","Sending"
"Sending health","Sending health"
"Sending is broken","Sending is broken"
"Sending it again uses the settings as they are now, which is the point: what changed is the settings.","Sending it again uses the settings as they are now, which is the point: what changed is the settings."
"Sending through %1 has not been checked yet.","Sending through %1 has not been checked yet."
"Sending through %1 is working.","Sending through %1 is working."
"Sending through this module is switched off, so Magento is sending the way it did before.","Sending through this module is switched off, so Magento is sending the way it did before."
"Sending through this module is switched off.","Sending through this module is switched off."
"Sending to %1 failed for a reason we could not name.","Sending to %1 failed for a reason we could not name."
"Sending works","Sending works"
"Sends one real message through the saved settings. Save first, and then look in that mailbox: whether it lands in the inbox or in the spam folder is the answer to a different question, about the domain's DNS records.","Sends one real message through the saved settings. Save first, and then look in that mailbox: whether it lands in the inbox or in the spam folder is the answer to a different question, about the domain's DNS records."
"Sent again at","Sent again at"
"Sent at","Sent at"
"Sent messages","Sent messages"
"Sent through the server's own local mail command rather than the provider, because the provider is what is not working. That makes it a second chance rather than a guarantee: local mail is often unconfigured, and often lands in a spam folder.","Sent through the server's own local mail command rather than the provider, because the provider is what is not working. That makes it a second chance rather than a guarantee: local mail is often unconfigured, and often lands in a spam folder."
"Sent through: %1","Sent through: %1"
"Server","Server"
"Server busy","Server busy"
"Session refused","Session refused"
"Settings and the full report: %1","Settings and the full report: %1"
"Shown as","Shown as"
"Shown as source rather than rendered, because this page is for finding out what happened.","Shown as source rather than rendered, because this page is for finding out what happened."
"Size","Size"
"Somebody was told","Somebody was told"
"Something about these settings is wrong.","Something about these settings is wrong."
"Something answers at %1, but it does not speak SMTP.","Something answers at %1, but it does not speak SMTP."
"State","State"
"Stopped answering","Stopped answering"
"Store view","Store view"
"Stored encrypted with the installation's own key. It is never written to the log, to an alert or to the report.","Stored encrypted with the installation's own key. It is never written to the log, to an alert or to the report."
"Subject","Subject"
"TLS from the first byte","TLS from the first byte"
"TLS from the first byte — usually port 465","TLS from the first byte — usually port 465"
"Test message","Test message"
"Test message from your shop","Test message from your shop"
"That log entry is gone. Entries are deleted once they are past their retention.","That log entry is gone. Entries are deleted once they are past their retention."
"The API key from the account settings.","The API key from the account settings."
"The SMTP login from SMTP & API → SMTP, which is an e-mail address and not always the one you sign in with.","The SMTP login from SMTP & API → SMTP, which is an e-mail address and not always the one you sign in with."
"The SMTP login of the sending domain, usually postmaster@your-domain.","The SMTP login of the sending domain, usually postmaster@your-domain."
"The SMTP password issued with that user name, which is shown only once.","The SMTP password issued with that user name, which is shown only once."
"The SMTP password shown for that domain. Resetting it there breaks sending here until it is copied again.","The SMTP password shown for that domain. Resetting it there breaks sending here until it is copied again."
"The Server API token from the server's API Tokens tab.","The Server API token from the server's API Tokens tab."
"The Server API token, the same value as the password. It is filled in for you.","The Server API token, the same value as the password. It is filled in for you."
"The certificate is not being checked, so nothing proves the server is the one it claims to be.","The certificate is not being checked, so nothing proves the server is the one it claims to be."
"The certificate presented by %1 was not accepted.","The certificate presented by %1 was not accepted."
"The channel that always works, because somebody logs in to process orders anyway.","The channel that always works, because somebody logs in to process orders anyway."
"The check opens a connection, raises encryption and logs in, then says goodbye without sending anything. It costs the provider nothing and counts against no sending limit — and it proves the connection, never the delivery.","The check opens a connection, raises encryption and logs in, then says goodbye without sending anything. It costs the provider nothing and counts against no sending limit — and it proves the connection, never the delivery."
"The check took","The check took"
"The connection to %1 stopped answering part way through.","The connection to %1 stopped answering part way through."
"The e-mail address of the account, or any Mandrill user name.","The e-mail address of the account, or any Mandrill user name."
"The e-mail address of the account.","The e-mail address of the account."
"The encrypted connection to %1 could not be agreed.","The encrypted connection to %1 could not be agreed."
"The envelope sender, which is where undeliverable mail comes back to. A different thing from the address above, and the one providers check.","The envelope sender, which is where undeliverable mail comes back to. A different thing from the address above, and the one providers check."
"The full address of the mailbox, which has to be the address messages are sent from.","The full address of the mailbox, which has to be the address messages are sent from."
"The full address of the mailbox.","The full address of the mailbox."
"The health check proves a connection. Only a real message proves delivery, and only the mailbox it arrives in can say whether it landed in the inbox or the spam folder.","The health check proves a connection. Only a real message proves delivery, and only the mailbox it arrives in can say whether it landed in the inbox or the spam folder."
"The message as it was to be sent","The message as it was to be sent"
"The message itself was not kept, so it cannot be sent again. Turn on ""Keep the message body"" to make that possible for future failures.","The message itself was not kept, so it cannot be sent again. Turn on ""Keep the message body"" to make that possible for future failures."
"The message to %1 has been sent.","The message to %1 has been sent."
"The message was not accepted: %1","The message was not accepted: %1"
"The message was not sent.","The message was not sent."
"The name %1 could not be looked up from this server.","The name %1 could not be looked up from this server."
"The panel could not ask the server.","The panel could not ask the server."
"The password for that login. Leave both fields empty for a relay that authenticates by IP address.","The password for that login. Leave both fields empty for a relay that authenticates by IP address."
"The password of that mailbox, or an app password where multi-factor authentication is on.","The password of that mailbox, or an app password where multi-factor authentication is on."
"The password set for that SMTP user.","The password set for that SMTP user."
"The password would travel across the network unencrypted.","The password would travel across the network unencrypted."
"The provider's own instructions","The provider's own instructions"
"The secret key that belongs to that API key.","The secret key that belongs to that API key."
"The server accepted a message for %1 in %2 ms.","The server accepted a message for %1 in %2 ms."
"The server at %1 accepts connections, and the credentials are accepted. This says nothing about delivery.","The server at %1 accepts connections, and the credentials are accepted. This says nothing about delivery."
"The server at %1 answered in a way we could not read.","The server at %1 answered in a way we could not read."
"The server at %1 asked us to come back later.","The server at %1 asked us to come back later."
"The server at %1 could not check the credentials this time.","The server at %1 could not check the credentials this time."
"The server at %1 does not offer STARTTLS, which these settings require.","The server at %1 does not offer STARTTLS, which these settings require."
"The server at %1 offers no way to present the credentials that are configured.","The server at %1 offers no way to present the credentials that are configured."
"The server at %1 refused the connection before anything was sent.","The server at %1 refused the connection before anything was sent."
"The server at %1 refused the user name and password.","The server at %1 refused the user name and password."
"The server at %1 refused to turn on encryption.","The server at %1 refused to turn on encryption."
"The server at %1 took the connection but refused the message.","The server at %1 took the connection but refused the message."
"The server at %1 would not open a session.","The server at %1 would not open a session."
"The server said: %1","The server said: %1"
"The settings are not complete enough to send anything yet.","The settings are not complete enough to send anything yet."
"The settings are not complete enough to try sending.","The settings are not complete enough to try sending."
"The settings cannot send anything at the moment, so there is no point trying. Fix the settings first.","The settings cannot send anything at the moment, so there is no point trying. Fix the settings first."
"The shop can send e-mail again through %1.","The shop can send e-mail again through %1."
"The shop cannot send e-mail: %1 while %2, at %3.","The shop cannot send e-mail: %1 while %2, at %3."
"There is no password, although the settings say to log in.","There is no password, although the settings say to log in."
"There is no route from this server to %1.","There is no route from this server to %1."
"There is no sender address to send from. Set one in the general contact, or override it here.","There is no sender address to send from. Set one in the general contact, or override it here."
"There is no server address.","There is no server address."
"There is no user name, although the settings say to log in.","There is no user name, although the settings say to log in."
"There is nobody to send a test message to.","There is nobody to send a test message to."
"There is nothing more we can say about this one.","There is nothing more we can say about this one."
"This has to match the port. The two together are the commonest reason a correct password looks like a dead server.","This has to match the port. The two together are the commonest reason a correct password looks like a dead server."
"This is usually a session that has expired. Reload the page and try again.","This is usually a session that has expired. Reload the page and try again."
"This message was not kept, so it cannot be sent again. Entries are only kept in full while ""Keep the message body"" is on.","This message was not kept, so it cannot be sent again. Entries are only kept in full while ""Keep the message body"" is on."
"This message was sent from the mail settings of your shop.","This message was sent from the mail settings of your shop."
"This warning was sent through the server's local mail command rather than the configured provider, because the configured provider is the thing that is not working.","This warning was sent through the server's local mail command rather than the configured provider, because the configured provider is the thing that is not working."
"Through","Through"
"To","To"
"Took","Took"
"Took (ms)","Took (ms)"
"Unknown failure","Unknown failure"
"Unknown server name","Unknown server name"
"Unreadable answer","Unreadable answer"
"User name","User name"
"Webhook address","Webhook address"
"What is configured","What is configured"
"What the server said","What the server said"
"What this provider expects","What this provider expects"
"Whatever the provider expects (recommended)","Whatever the provider expects (recommended)"
"Whatever the server expects as the login, usually a full e-mail address.","Whatever the server expects as the login, usually a full e-mail address."
"Who is told","Who is told"
"Who is told when sending breaks","Who is told when sending breaks"
"Why it did not go out","Why it did not go out"
"With this off, Magento sends the way it did before the module was installed. Nothing here is lost, and turning it back on restores it.","With this off, Magento sends the way it did before the module was installed. Nothing here is lost, and turning it back on restores it."
"Working","Working"
"Working on it…","Working on it…"
"Worth fixing in the settings","Worth fixing in the settings"
"Zoho keeps each data centre on its own address, and it has to be the one the account lives in.","Zoho keeps each data centre on its own address, and it has to be the one the account lives in."
"a bar across the admin panel","a bar across the admin panel"
"a line in the log, and the exit code of bin/magento calmfox:smtp:health","a line in the log, and the exit code of bin/magento calmfox:smtp:health"
"a webhook","a webhook"
"agreeing the encryption","agreeing the encryption"
"an e-mail to %1","an e-mail to %1"
"asking for encryption","asking for encryption"
"connecting","connecting"
"finishing","finishing"
"logging in","logging in"
"never","never"
"none","none"
"not set","not set"
"nothing is sent; the server accepts us by address","nothing is sent; the server accepts us by address"
"opening the session","opening the session"
"reading the greeting","reading the greeting"
"somebody@example.com","somebody@example.com"
