"%1 <a href=""%2"">Open the mail health report</a>.","%1 <a href=""%2"">Otwórz raport o wysyłce poczty</a>."
"%1 bytes","%1 bajtów"
"%1 entries deleted.","Usunięto %1 wpisów."
"%1 is not a port number.","%1 nie jest numerem portu."
"%1 is not an e-mail address.","%1 nie jest adresem e-mail."
"%1 ms","%1 ms"
"%1 of the 10 DNS lookups a receiver allows","%1 z 10 zapytań DNS, na które pozwala odbiorca"
"%1 publishes no DMARC record, so nobody is told when somebody forges the shop's address and receivers have no instruction about what to do with it.","%1 nie publikuje wpisu DMARC, więc nikt nie dowie się o podszywaniu pod adres sklepu, a odbiorcy nie mają wskazówki, co z taką pocztą robić."
"%1 publishes no SPF record, so nothing says which servers may send as it. Gmail and Outlook treat mail from such a domain as suspicious by default.","%1 nie publikuje wpisu SPF, więc nic nie mówi, które serwery mogą z niej wysyłać. Gmail i Outlook domyślnie traktują pocztę z takiej domeny jako podejrzaną."
"%1 publishes two SPF records. A receiving server reads that as a permanent error and ignores both, so the domain authorises nobody at all — they have to be merged into one.","%1 publikuje dwa wpisy SPF. Serwer odbiorcy czyta to jako błąd trwały i pomija oba, więc domena nie dopuszcza nikogo — trzeba je scalić w jeden."
"%1: sending e-mail works again","%1: wysyłka poczty znowu działa"
"%1: the shop cannot send e-mail (%2)","%1: sklep nie może wysyłać poczty (%2)"
"One real message, through the saved settings. This is the only way to learn anything about delivery.","Jedna prawdziwa wiadomość, przez zapisane ustawienia. To jedyny sposób, żeby dowiedzieć się czegokolwiek o dostarczaniu."
"Only for messages that failed, and only while they are within the retention — this is what makes sending them again possible once the settings are fixed. It is also the one setting here that stores whole customer e-mails.","Tylko dla wiadomości nieudanych i tylko w okresie przechowywania — to właśnie umożliwia ponowną wysyłkę po naprawieniu ustawień. To również jedyne ustawienie, które zapisuje całe wiadomości klientów."
"Only needed where the provider insists. A Magento installation has sender addresses in half a dozen settings and in any number of modules, and a provider that only accepts one of them will refuse the rest.","Potrzebne tylko tam, gdzie dostawca się upiera. Instalacja Magento trzyma adresy nadawcy w kilku ustawieniach i w dowolnej liczbie modułów, a dostawca, który przyjmuje tylko jeden z nich, odrzuci pozostałe."
"Open","Otwórz"
"Open the mail health report","Otwórz raport o wysyłce poczty"
"Open the mail sending settings","Otwórz ustawienia wysyłki poczty"
"Opens a connection, raises encryption and logs in. It sends nothing, costs the provider nothing, and proves the connection rather than the delivery.","Otwiera połączenie, podnosi szyfrowanie i loguje się. Nic nie wysyła, nic nie kosztuje u dostawcy i dowodzi połączenia, a nie dostarczenia."
"Oregon","Oregon"
"Other addresses for this provider:","Inne adresy tego dostawcy:"
"Outcome","Wynik"
"Outgoing mail is customer correspondence: names, addresses, order contents, the occasional password reset link. The defaults keep as little of it as is still useful.","Poczta wychodząca to korespondencja z klientami: nazwiska, adresy, zawartość zamówień, czasem link do zmiany hasła. Domyślne ustawienia trzymają z tego tyle, ile jest jeszcze przydatne."
"Overrides the sender of every message. Leave empty to keep whatever each message already says.","Nadpisuje nadawcę w każdej wiadomości. Puste zostawia to, co każda wiadomość ma wpisane."
"PLAIN","PLAIN"
"Password","Hasło"
"Pick a provider and its server, port and encryption are filled in below.","Wybierz dostawcę, a jego serwer, port i szyfrowanie wypełnią się poniżej."
"Pick the host of the data centre the account lives in; the addresses are not interchangeable.","Wybierz host centrum danych, w którym mieszka konto; te adresy nie są wymienne."
"Pick the host of the region the identity was verified in, and remember that a new account is in the sandbox until Amazon lifts it: it can only write to verified addresses.","Wybierz host regionu, w którym zweryfikowano tożsamość, i pamiętaj, że nowe konto siedzi w piaskownicy, dopóki Amazon go z niej nie wyjmie: może pisać wyłącznie na zweryfikowane adresy."
"Picking one fills in the server, the port and the encryption, and explains what that provider means by the two credential fields.","Wybór dostawcy wypełnia serwer, port i szyfrowanie oraz wyjaśnia, co ten dostawca rozumie przez dwa pola z danymi logowania."
"Port","Port"
"Port %1 expects TLS from the first byte. With encryption off, the server will never answer.","Port %1 oczekuje TLS od pierwszego bajtu. Przy wyłączonym szyfrowaniu serwer nigdy nie odpowie."
"Port %1 usually expects STARTTLS rather than TLS from the first byte.","Port %1 zwykle oczekuje STARTTLS, a nie TLS od pierwszego bajtu."
"Port %1 usually expects TLS from the first byte rather than STARTTLS.","Port %1 zwykle oczekuje TLS od pierwszego bajtu, a nie STARTTLS."
"Port 25 is blocked outbound by most hosting companies, and by most home connections.","Port 25 jest wychodząco zablokowany u większości hostingów i na większości łączy domowych."
"Port and encryption disagree: 465 expects TLS from the first byte, 587 expects STARTTLS.","Port i szyfrowanie się nie zgadzają: 465 oczekuje TLS od pierwszego bajtu, 587 oczekuje STARTTLS."
"Postmark expects the Server API token in both the user name and the password.","Postmark oczekuje tokena Server API i w nazwie użytkownika, i w haśle."
"Postmark keeps transactional and bulk messages on separate streams; order e-mail belongs on the transactional one.","Postmark trzyma wiadomości transakcyjne i masowe na osobnych strumieniach; poczta o zamówieniach należy do transakcyjnego."
"Provider","Dostawca"
"Reads SPF, DKIM and DMARC. This is the half of sending that a connection check cannot see: whether a receiving server will believe the shop.","Czyta SPF, DKIM i DMARC. To ta połowa wysyłki, której test połączenia nie widzi: czy serwer odbiorcy uwierzy sklepowi."
"Reads the SPF, DKIM and DMARC records of the domain this shop sends as, and says whether they authorise the provider configured above. It changes nothing and sends nothing.","Czyta wpisy SPF, DKIM i DMARC domeny, z której sklep wysyła, i mówi, czy dopuszczają dostawcę ustawionego powyżej. Niczego nie zmienia i nic nie wysyła."
"Real messages that could not be sent. This is the ground truth: a shop whose order confirmations are failing is broken whatever a connection test says.","Prawdziwe wiadomości, których nie udało się wysłać. To twardy dowód: sklep, któremu nie wychodzą potwierdzenia zamówień, jest zepsuty, cokolwiek mówi test połączenia."
"Refused by the server","Odrzucone przez serwer"
"Reuse a verdict for","Używaj poprzedniego wyniku przez"
"SMTP AUTH is off by default and has to be enabled for the mailbox in the Microsoft 365 admin centre. Microsoft also throttles at around 30 messages a minute and 10 000 a day, and is retiring password-based SMTP: for order e-mail a provider built for sending is the safer home.","SMTP AUTH jest domyślnie wyłączony i trzeba go włączyć dla skrzynki w centrum administracyjnym Microsoft 365. Microsoft ogranicza też tempo do około 30 wiadomości na minutę i 10 000 na dobę, a do tego wycofuje SMTP na hasło: dla poczty o zamówieniach bezpieczniejszym domem jest dostawca stworzony do wysyłki."
"SPF","SPF"
"SPF costs","Koszt SPF"
"STARTTLS","STARTTLS"
"STARTTLS refused","STARTTLS odrzucony"
"STARTTLS — usually port 587","STARTTLS — zwykle port 587"
"Say it again after","Powtórz po"
"Seconds of silence before the same problem is reported a second time. Six hours by default: often enough not to be forgotten, rarely enough not to be filtered.","Sekundy ciszy, po których zgłaszamy ten sam problem po raz drugi. Domyślnie sześć godzin: dość często, żeby nie zapomnieć, dość rzadko, żeby nie wylądować w filtrze."
"Seconds to wait for the server. Five is enough for any provider in the list; a longer wait only makes a checkout page slower on the day the server is down.","Sekundy oczekiwania na serwer. Pięć wystarcza każdemu dostawcy z listy; dłuższe oczekiwanie tylko spowalnia ścieżkę zakupową w dniu, w którym serwer nie działa."
"Seconds. Keeps a dashboard, a cron run and a console command in the same minute from opening three connections to learn the same thing. The button on this page always checks now.","Sekundy. Dzięki temu pulpit, przebieg crona i polecenie w konsoli w tej samej minucie nie otwierają trzech połączeń po tę samą wiedzę. Przycisk na tej stronie zawsze sprawdza od razu."
"Seconds. Three failures in half an hour is a broken shop; three over a fortnight is three bad addresses.","Sekundy. Trzy niepowodzenia w pół godziny to zepsuty sklep; trzy w ciągu dwóch tygodni to trzy błędne adresy."
"See what was sent","Zobacz, co zostało wysłane"
"Send a test message","Wyślij wiadomość testową"
"Send a test message to","Wyślij wiadomość testową na adres"
"Send bounces to","Zwroty wysyłaj na"
"Send it","Wyślij"
"Send it again","Wyślij ponownie"
"Send through this module","Wysyłaj przez ten moduł"
"SendGrid expects the literal word apikey as the login, with the API key as the password.","SendGrid oczekuje dosłownie słowa apikey jako loginu, a klucza API jako hasła."
"Sender","Nadawca"
"Sender domain","Domena nadawcy"
"Sender, recipients, subject and what the server said. This is what answers ""did the customer get it?"" without guessing.","Nadawca, odbiorcy, temat i to, co powiedział serwer. To właśnie odpowiada na pytanie „czy klient to dostał?” bez zgadywania."
"Sender: %1","Nadawca: %1"
"Sending","Wysyłka"
"Sending health","Stan wysyłki"
"Sending is broken","Wysyłka nie działa"
"Sending it again uses the settings as they are now, which is the point: what changed is the settings.","Ponowna wysyłka korzysta z obecnych ustawień i o to właśnie chodzi: zmieniły się ustawienia."
"Sending through %1 has not been checked yet.","Wysyłka przez %1 nie była jeszcze sprawdzana."
"Sending through %1 is working.","Wysyłka przez %1 działa."
"Sending through this module is switched off, so Magento is sending the way it did before.","Wysyłka przez ten moduł jest wyłączona, więc Magento wysyła tak jak wcześniej."
"Sending through this module is switched off.","Wysyłka przez ten moduł jest wyłączona."
"Sending to %1 failed for a reason we could not name.","Wysyłka do %1 nie udała się z powodu, którego nie umiemy nazwać."
"Sending works","Wysyłka działa"
"Sends as","Wysyła jako"
"Sends one real message through the saved settings. Save first, and then look in that mailbox: whether it lands in the inbox or in the spam folder is the answer to a different question, about the domain's DNS records.","Wysyła jedną prawdziwą wiadomość przez zapisane ustawienia. Najpierw zapisz, a potem zajrzyj do tej skrzynki: czy trafi do odbiorczej, czy do niechcianych, to odpowiedź na inne pytanie — o wpisy DNS domeny."
"Sent again at","Wysłano ponownie"
"Sent at","Wysłano"
"Sent messages","Wysłane wiadomości"
"Sent through the server's own local mail command rather than the provider, because the provider is what is not working. That makes it a second chance rather than a guarantee: local mail is often unconfigured, and often lands in a spam folder.","Wysyłane lokalnym poleceniem pocztowym serwera, a nie przez dostawcę, bo to dostawca nie działa. Dlatego jest to druga szansa, a nie gwarancja: poczta lokalna często nie jest skonfigurowana i często trafia do niechcianych."
"Sent through: %1","Wysłano przez: %1"
"Server","Serwer"
"Server busy","Serwer zajęty"
"Session refused","Sesja odrzucona"
"Settings and the full report: %1","Ustawienia i pełny raport: %1"
"Shown as","Wyświetlana nazwa"
"Shown as source rather than rendered, because this page is for finding out what happened.","Pokazane jako źródło, a nie wyrenderowane, bo ta strona służy do ustalenia, co się stało."
"Size","Rozmiar"
"Somebody was told","Ktoś został powiadomiony"
"Something about these settings is wrong.","Coś w tych ustawieniach jest nie tak."
"Something answers at %1, but it does not speak SMTP.","Coś odpowiada na %1, ale nie mówi po SMTP."
"State","Stan"
"Stopped answering","Przestał odpowiadać"
"Store view","Widok sklepu"
"Stored encrypted with the installation's own key. It is never written to the log, to an alert or to the report.","Przechowywane zaszyfrowane kluczem tej instalacji. Nigdy nie trafia do logu, do ostrzeżenia ani do raportu."
"Subject","Temat"
"TLS from the first byte","TLS od pierwszego bajtu"
"TLS from the first byte — usually port 465","TLS od pierwszego bajtu — zwykle port 465"
"Test message","Wiadomość testowa"
"Test message from your shop","Wiadomość testowa z Twojego sklepu"
"That log entry is gone. Entries are deleted once they are past their retention.","Tego wpisu już nie ma. Wpisy są usuwane po upływie okresu przechowywania."
"The API key from the account settings.","Klucz API z ustawień konta."
"The DMARC record of %1 only watches: a forged sender is reported and delivered anyway. That is the right first step, and worth moving past once SPF and DKIM are in order.","Wpis DMARC domeny %1 tylko obserwuje: podszycie zostanie zgłoszone i wiadomość i tak zostanie dostarczona. To właściwy pierwszy krok, warto pójść dalej, gdy SPF i DKIM będą w porządku."
"The SMTP login from SMTP & API → SMTP, which is an e-mail address and not always the one you sign in with.","Login SMTP ze strony SMTP & API → SMTP; jest to adres e-mail i nie zawsze ten, którym się logujesz."
"The SMTP login of the sending domain, usually postmaster@your-domain.","Login SMTP domeny wysyłającej, zwykle postmaster@twoja-domena."
"The SMTP password issued with that user name, which is shown only once.","Hasło SMTP wydane razem z tą nazwą użytkownika, pokazywane tylko raz."
"The SMTP password shown for that domain. Resetting it there breaks sending here until it is copied again.","Hasło SMTP pokazane dla tej domeny. Zmiana go tam psuje wysyłkę tutaj, dopóki nie skopiujesz nowego."
"The SPF record of %1 does not authorise the provider this shop sends through. Until it contains %2, the provider will keep accepting the messages and receivers will keep treating them as forged.","Wpis SPF domeny %1 nie dopuszcza dostawcy, przez którego ten sklep wysyła. Dopóki nie będzie w nim %2, dostawca będzie przyjmował wiadomości, a odbiorcy będą je traktować jak podszycie."
"The SPF record of %1 ends with +all, which authorises every server on the internet to send as it. That is worse than publishing nothing, because it looks like protection.","Wpis SPF domeny %1 kończy się na +all, co dopuszcza do wysyłki z niej każdy serwer w internecie. To gorzej niż nie publikować nic, bo wygląda jak zabezpieczenie."
"The SPF record says nothing about senders it has not listed. Ending it with ~all, or with -all once everything is verified, is what makes it mean something.","Wpis SPF nic nie mówi o nadawcach, których nie wymienia. Zakończenie go na ~all, a po weryfikacji wszystkiego na -all, jest tym, co nadaje mu znaczenie."
"The Server API token from the server's API Tokens tab.","Token Server API z zakładki API Tokens danego serwera."
"The Server API token, the same value as the password. It is filled in for you.","Token Server API, ta sama wartość co hasło. Wypełniamy to za Ciebie."
